Name;Kategorie;Zutaten;Zubereitung;Portionen;Kalorien;Eiweiß;Kohlenhydrate;Fett
Linsensuppe #1;Beilage;Linsensuppe, Käse, Vanille, Petersilie, Brühe, Sellerie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;685;25;135;5
Maultaschen #2;Vegan;Maultaschen, Sellerie, Vanille, Ei, Brühe, Käse;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;827;9;161;16
Apfelstrudel #3;Vegan;Apfelstrudel, Ei, Sellerie, Porree, Olivenöl, Paprika;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;409;32;29;18
Schnitzel #4;Beilage;Schnitzel, Knoblauch, Sahne, Petersilie, Milch, Mehl;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;752;13;145;13
Käsespätzle #5;Suppe;Käsespätzle, Zimt, Sahne, Sellerie, Knoblauch, Porree;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;528;45;57;13
Eintopf #6;Suppe;Eintopf, Butter, Zitrone, Karotte, Gurke, Sellerie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;795;33;152;6
Käsespätzle #7;Pasta;Käsespätzle, Zimt, Sellerie, Senf, Milch, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;690;28;65;35
Kartoffelpuffer #8;Pasta;Kartoffelpuffer, Knoblauch, Butter, Tomate, Karotte, Vanille;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;377;6;20;30
Schnitzel #9;Hauptgericht;Schnitzel, Petersilie, Käse, Mehl, Butter, Knoblauch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;551;43;25;31
Eintopf #10;Frühstück;Eintopf, Sahne, Ei, Olivenöl, Vanille, Sellerie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;654;36;89;17
Sauerbraten #11;Reis;Sauerbraten, Zitrone, Olivenöl, Porree, Käse, Zimt;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;824;23;106;34
Sauerbraten #12;Curry;Sauerbraten, Sellerie, Petersilie, Zwiebel, Brühe, Tomate;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;568;8;62;32
Käsekuchen #13;Salat;Käsekuchen, Zimt, Zitrone, Ei, Zwiebel, Senf;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;716;27;89;28
Eintopf #14;Salat;Eintopf, Olivenöl, Sellerie, Apfel, Karotte, Knoblauch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;551;34;34;31
Kartoffelsuppe #15;Beilage;Kartoffelsuppe, Zwiebel, Ei, Käse, Porree, Gurke;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;454;14;72;12
Linsensuppe #16;Reis;Linsensuppe, Sellerie, Karotte, Mehl, Sahne, Knoblauch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;398;39;13;21
Bratkartoffeln #17;Suppe;Bratkartoffeln, Käse, Mehl, Brühe, Ei, Paprika;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;792;35;115;21
Linsensuppe #18;Salat;Linsensuppe, Karotte, Senf, Ei, Mehl, Knoblauch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;421;26;65;6
Käsespätzle #19;Suppe;Käsespätzle, Sahne, Milch, Senf, Zitrone, Knoblauch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;443;44;24;19
Schwarzwälder Kirschtorte #20;Reis;Schwarzwälder Kirschtorte, Karotte, Tomate, Ei, Sellerie, Zitrone;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;336;20;7;25
Schweinebraten #21;Reis;Schweinebraten, Milch, Tomate, Zitrone, Mehl, Paprika;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;483;22;83;7
Rinderroulade #22;Suppe;Rinderroulade, Zimt, Apfel, Knoblauch, Paprika, Petersilie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;791;16;159;10
Erbsensuppe #23;Pasta;Erbsensuppe, Zwiebel, Petersilie, Gurke, Sellerie, Zimt;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;679;10;132;12
Eintopf #24;Reis;Eintopf, Apfel, Mehl, Zwiebel, Vanille, Brühe;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;740;37;125;10
Maultaschen #25;Beilage;Maultaschen, Petersilie, Tomate, Vanille, Gurke, Sahne;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;573;21;59;28
Rinderroulade #26;Vegetarisch;Rinderroulade, Ei, Knoblauch, Mehl, Sahne, Butter;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;543;42;75;8
Sauerbraten #27;Suppe;Sauerbraten, Karotte, Milch, Petersilie, Porree, Vanille;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;367;31;42;8
Käsekuchen #28;Vegan;Käsekuchen, Milch, Zwiebel, Senf, Olivenöl, Zimt;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;476;39;68;5
Käsekuchen #29;Pasta;Käsekuchen, Tomate, Zimt, Sellerie, Apfel, Ei;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;451;34;11;30
Apfelstrudel #30;Pfannengericht;Apfelstrudel, Zimt, Milch, Gurke, Vanille, Sellerie;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;616;36;66;23
Eintopf #31;Pasta;Eintopf, Sellerie, Butter, Mehl, Gurke, Knoblauch;Vorbereitung: Zutaten klein schneiden. Kochen: Alles in einem Topf/Pfanne garen. Servieren: Heiß genießen.;1;712;16;121;18
